1,1,3.0
1,2,4.0
1,3,3.0
2,3,4.0
2,4,4.0
2,5,3.0
3,7,4.0
3,2,4.0
3,3,4.0
4,7,1.0
4,1,1.0
4,4,3.0
5,5,1.0
5,1,1.0
5,2,3.0
5,3,1.0
5,4,1.0
6,1,4.0
6,3,1.0
6,5,1.0
7,2,3.0
7,4,1.0
7,6,3.0
8,1,4.0
8,3,1.0
8,4,3.0
8,6,1.0
9,2,1.0
9,3,1.0
9,5,4.0
9,6,1.0
10,1,1.0
10,7,1.0
11,8,1.0
11,9,1.0
11,10,3.0
12,8,2.0
12,10,12.0
12,12,2.0
13,10,1.0
13,12,2.0
14,8,4.0
14,11,2.0
15,9,2.0
15,11,2.0
16,13,2.0
16,34,2.0
17,13,2.0
17,15,3.0
18,14,3.0
18,17,5.0
19,16,4.0
19,17,1.0
20,7,5.0
20,13,4.0
21,1,5.0
21,3,2.0
21,5,5.0
21,26,2.0
21,28,2.0
22,2,3.0
22,3,5.0
22,16,3.0
22,27,5.0
22,28,2.0
23,1,2.0
23,28,4.0
23,29,3.0
23,30,3.0
24,24,5.0
24,25,3.0
24,30,3.0
25,2,3.0
25,3,5.0
25,4,2.0
25,30,2.0
26,1,3.0
26,2,4.0
26,3,3.0
26,28,3.0
26,29,3.0
26,30,3.0
27,4,3.0
27,7,3.0
27,8,3.0
27,24,3.0
27,25,3.0
27,26,3.0
28,5,5.0
28,6,4.0
28,28,5.0
28,29,4.0
29,1,4.0
29,2,3.0
29,23,5.0
29,28,4.0
30,1,3.0
30,2,4.0
30,3,2.0
30,30,4.0
